Trial,Model,Rank,Hypothesis,Hyp,Result
1,Alternate Model,1,A,'A',0.0004160018
1,Alternate Model,2,A or B,"Or('A','B')",7.65192593101611E-05
1,Alternate Model,3,A or C,"Or('A','C')",7.65192593101611E-05
1,Full Model,1,A,'A',0.3032653299
1,Full Model,2,A or B,"Or('A','B')",0.0865771049
1,Full Model,3,A or C,"Or('A','C')",0.05578254
2,Alternate Model,1,B,'B',0.0004160018
2,Alternate Model,2,B or (A and B),"Or('B',And('A','B'))",1.87665749025832E-05
2,Alternate Model,3,B or (B and C),"Or('B',And('B','C'))",1.87665749025832E-05
2,Full Model,1,B,'B',0.3032653299
2,Full Model,2,B or (A and B),"Or('B',And('A','B'))",0.0335784512
2,Full Model,3,B or (B and C),"Or('B',And('B','C'))",0.0335784512
3,Alternate Model,1,A then B,"Then('A','B')",2.09929380823487E-07
3,Alternate Model,2,A and B,"And('A','B')",0.000000105
3,Alternate Model,3,A then (B or C),"Then('A',Or('B','C'))",3.86143516514057E-08
3,Full Model,1,A then B,"Then('A','B')",0.1115650801
3,Full Model,2,A and B,"And('A','B')",0.0865771049
3,Full Model,3,A then (B or C),"Then('A',Or('B','C'))",0.031849937
4,Alternate Model,1,B then A,"Then('B','A')",2.09929380823487E-07
4,Alternate Model,2,A and B,"And('A','B')",0.000000105
4,Alternate Model,3,(B or C) then A,"Then(Or('B','C'),'A')",3.86143516514057E-08
4,Full Model,1,B then A,"Then('B','A')",0.1115650801
4,Full Model,2,A and B,"And('A','B')",0.0249879752
4,Full Model,3,(B or C) then A,"Then(Or('B','C'),'A')",0.0205212497
5,Alternate Model,1,A then C,"Then('A','C')",2.09929380823487E-07
5,Alternate Model,2,A and C,"And('A','C')",0.000000105
5,Alternate Model,3,(A or B) then C,"Then(Or('A','B'),'C')",3.86143516514057E-08
5,Full Model,1,A then C,"Then('A','C')",0.1115650801
5,Full Model,2,A and C,"And('A','C')",0.05578254
5,Full Model,3,(A or B) then C,"Then(Or('A','B'),'C')",0.0205212497
6,Alternate Model,1,A then B then C,"Then('A','B','C')",1.74662010759855E-10
6,Alternate Model,2,A and B and C,"And('A','B','C')",2.91103351266425E-11
6,Alternate Model,3,(A and B) then C,"Then(And('A','B'),'C')",5.2968932306455E-11
