Key,Id,Trial,Image,H1,H1Data,H2,H2Data,H3,H3Data
1,BJxFpo3,5,0,A and C,0,A then C,10,(A or B) then C,0
2,BJxFpo3,3,0,A then B,10,A then (B or C),0,A and B,0
3,BJxFpo3,17,0,(A then C) or (B then A),10,A and (B or C),0,(A and C) or (B then A),5
4,BJxFpo3,2,0,B or (A and B),0,B or (B and C),0,B,10
5,BJxFpo3,14,0,A and B,0,A then B,10,A then (B or C),0
6,BJxFpo3,9,0,A or B or C,0,A or C,10,A or C or (C then B),0
7,BJxFpo3,11,0,A and (B or C),5,(A and C) or (B then A),5,(B or C) then A,5
8,BJxFpo3,7,0,B and (A then C),0,A then C then B,10,(A and C) then B,0
9,BJxFpo3,1,0,A or B,0,A,10,A or C,0
10,BJxFpo3,6,0,A then B then C,10,A and B and C,0,(A and B) then C,0
11,BJxFpo3,15,0,A and B,0,(B or C) then A,0,B then A,10
12,BJxFpo3,16,0,A then C,10,(A or B) then C,0,A and C,0
13,BJxFpo3,19,0,(A and C) or (B then C),0,(A or B) then C,10,C and (A or B),5
14,BJxFpo3,10,0,(A and B) or (C then B),5,(A or C) then B,5,B and (A or C),0
15,BJxFpo3,4,0,B then A,10,(B or C) then A,0,A and B,0
16,BJxFpo3,18,0,B and (A or C),0,(A and B) or (B then C),0,B then (A or C),10
17,BJxFpo3,13,0,A or (B and C),0,A,10,A or B,0
18,BJxFpo3,8,0,B then A then C,10,C and (B then A),0,B then (A and C),0
19,BJxFpo3,12,0,A and (B or C),0,A and C,10,C and (A or B),0
20,rIg8TNu,2,0,B or (A and B),5,B or (B and C),6,B,2
21,rIg8TNu,1,0,A or C,3,A,6,A or B,4
22,rIg8TNu,12,0,A and (B or C),8,C and (A or B),4,A and C,4
23,rIg8TNu,18,0,B and (A or C),1,B then (A or C),6,(A and B) or (B then C),3
24,rIg8TNu,6,0,(A and B) then C,4,A and B and C,8,A then B then C,2
25,rIg8TNu,8,0,B then A then C,5,C and (B then A),3,B then (A and C),8
26,rIg8TNu,14,0,A then (B or C),2,A then B,3,A and B,6
27,rIg8TNu,7,0,A then C then B,5,B and (A then C),2,(A and C) then B,7
28,rIg8TNu,10,0,(A and B) or (C then B),3,(A or C) then B,6,B and (A or C),8
29,rIg8TNu,15,0,A and B,2,(B or C) then A,5,B then A,9
30,rIg8TNu,3,0,A then B,4,A then (B or C),6,A and B,3
31,rIg8TNu,17,0,A and (B or C),6,(A then C) or (B then A),3,(A and C) or (B then A),8
32,rIg8TNu,9,0,A or C,2,A or C or (C then B),5,A or B or C,6
33,rIg8TNu,4,0,A and B,5,(B or C) then A,3,B then A,6
34,rIg8TNu,19,0,C and (A or B),4,(A and C) or (B then C),7,(A or B) then C,3
35,rIg8TNu,13,0,A or B,4,A,6,A or (B and C),2
36,rIg8TNu,5,0,(A or B) then C,4,A then C,6,A and C,2
37,rIg8TNu,16,0,(A or B) then C,5,A and C,2,A then C,7
38,rIg8TNu,11,0,(A and C) or (B then A),3,A and (B or C),6,(B or C) then A,6
39,n80heRZ,6,0,(A and B) then C,6,A then B then C,9,A and B and C,0
40,n80heRZ,19,0,(A or B) then C,2,C and (A or B),3,(A and C) or (B then C),6
41,n80heRZ,18,0,B then (A or C),10,(A and B) or (B then C),2,B and (A or C),4
42,n80heRZ,17,0,(A then C) or (B then A),6,(A and C) or (B then A),4,A and (B or C),7
43,n80heRZ,12,0,A and C,3,A and (B or C),6,C and (A or B),7
44,n80heRZ,7,0,(A and C) then B,5,B and (A then C),8,A then C then B,5
45,n80heRZ,2,0,B,4,B or (B and C),2,B or (A and B),2
46,n80heRZ,4,0,(B or C) then A,1,B then A,7,A and B,7
47,n80heRZ,16,0,(A or B) then C,4,A and C,2,A then C,3
48,n80heRZ,13,0,A,5,A or (B and C),6,A or B,4
49,n80heRZ,10,0,(A and B) or (C then B),5,(A or C) then B,1,B and (A or C),5
50,n80heRZ,9,0,A or B or C,8,A or C or (C then B),4,A or C,7
51,n80heRZ,8,0,B then A then C,5,B then (A and C),5,C and (B then A),7
52,n80heRZ,5,0,A and C,4,A then C,1,(A or B) then C,6
53,n80heRZ,15,0,A and B,3,(B or C) then A,2,B then A,3
54,n80heRZ,11,0,(A and C) or (B then A),6,(B or C) then A,5,A and (B or C),1
55,n80heRZ,1,0,A or C,7,A,1,A or B,7
56,n80heRZ,14,0,A and B,4,A then (B or C),6,A then B,4
57,n80heRZ,3,0,A then (B or C),4,A and B,2,A then B,3
58,mVVqkz3,4,0,A and B,0,B then A,8,(B or C) then A,5
59,mVVqkz3,16,0,(A or B) then C,0,A then C,10,A and C,3
60,mVVqkz3,3,0,A then B,10,A then (B or C),5,A and B,3
61,mVVqkz3,10,0,B and (A or C),5,(A and B) or (C then B),0,(A or C) then B,8
62,mVVqkz3,12,0,C and (A or B),1,A and (B or C),2,A and C,10
63,mVVqkz3,17,0,(A and C) or (B then A),5,(A then C) or (B then A),7,A and (B or C),2
64,mVVqkz3,8,0,B then (A and C),2,C and (B then A),2,B then A then C,10
65,mVVqkz3,13,0,A,10,A or (B and C),0,A or B,1
66,mVVqkz3,7,0,B and (A then C),2,A then C then B,10,(A and C) then B,3
67,mVVqkz3,6,0,A and B and C,3,A then B then C,10,(A and B) then C,2
68,mVVqkz3,14,0,A and B,5,A then (B or C),3,A then B,10
69,mVVqkz3,2,0,B or (A and B),3,B,10,B or (B and C),1
70,mVVqkz3,11,0,(A and C) or (B then A),0,(B or C) then A,6,A and (B or C),4
71,mVVqkz3,19,0,(A or B) then C,10,C and (A or B),0,(A and C) or (B then C),0
72,mVVqkz3,18,0,B and (A or C),0,B then (A or C),10,(A and B) or (B then C),0
73,mVVqkz3,5,0,A and C,0,(A or B) then C,5,A then C,10
74,mVVqkz3,15,0,B then A,10,(B or C) then A,5,A and B,0
75,mVVqkz3,1,0,A or B,0,A or C,0,A,10
76,mVVqkz3,9,0,A or C,8,A or B or C,0,A or C or (C then B),0
77,GRHmaMx,10,0,(A and B) or (C then B),8,B and (A or C),4,(A or C) then B,7
78,GRHmaMx,17,0,(A and C) or (B then A),3,(A then C) or (B then A),5,A and (B or C),5
79,GRHmaMx,11,0,A and (B or C),3,(A and C) or (B then A),7,(B or C) then A,1
80,GRHmaMx,5,0,A then C,4,(A or B) then C,5,A and C,1
81,GRHmaMx,14,0,A then B,4,A then (B or C),7,A and B,2
82,GRHmaMx,12,0,A and C,7,A and (B or C),2,C and (A or B),6
83,GRHmaMx,6,0,A then B then C,2,A and B and C,8,(A and B) then C,2
84,GRHmaMx,15,0,(B or C) then A,8,A and B,2,B then A,5
85,GRHmaMx,3,0,A and B,2,A then (B or C),7,A then B,7
86,GRHmaMx,18,0,B then (A or C),8,B and (A or C),3,(A and B) or (B then C),5
87,GRHmaMx,19,0,(A or B) then C,9,C and (A or B),3,(A and C) or (B then C),8
88,GRHmaMx,16,0,A and C,2,(A or B) then C,7,A then C,7
89,GRHmaMx,13,0,A,2,A or B,6,A or (B and C),8
90,GRHmaMx,9,0,A or C or (C then B),6,A or B or C,8,A or C,4
91,GRHmaMx,1,0,A or B,7,A or C,5,A,3
92,GRHmaMx,4,0,A and B,4,B then A,7,(B or C) then A,7
93,GRHmaMx,7,0,(A and C) then B,4,B and (A then C),6,A then C then B,7
94,GRHmaMx,2,0,B,6,B or (A and B),2,B or (B and C),8
95,GRHmaMx,8,0,B then (A and C),9,C and (B then A),2,B then A then C,4
96,cPSybz9,15,0,A and B,0,B then A,10,(B or C) then A,0
97,cPSybz9,19,0,(A and C) or (B then C),0,C and (A or B),0,(A or B) then C,10
98,cPSybz9,11,0,(A and C) or (B then A),0,(B or C) then A,10,A and (B or C),0
99,cPSybz9,2,0,B,10,B or (B and C),0,B or (A and B),0
100,cPSybz9,10,0,(A or C) then B,10,B and (A or C),5,(A and B) or (C then B),0
101,cPSybz9,8,0,B then (A and C),5,B then A then C,10,C and (B then A),0
102,cPSybz9,6,0,(A and B) then C,5,A then B then C,10,A and B and C,5
103,cPSybz9,16,0,A then C,10,(A or B) then C,5,A and C,5
104,cPSybz9,5,0,(A or B) then C,5,A then C,10,A and C,5
105,cPSybz9,17,0,(A then C) or (B then A),0,A and (B or C),0,(A and C) or (B then A),5
106,cPSybz9,4,0,(B or C) then A,5,A and B,5,B then A,10
107,cPSybz9,7,0,A then C then B,10,B and (A then C),0,(A and C) then B,5
108,cPSybz9,12,0,A and (B or C),0,A and C,10,C and (A or B),0
109,cPSybz9,18,0,B then (A or C),10,B and (A or C),5,(A and B) or (B then C),0
110,cPSybz9,13,0,A or (B and C),0,A or B,0,A,10
111,cPSybz9,1,0,A or B,0,A,10,A or C,0
112,cPSybz9,3,0,A and B,5,A then (B or C),5,A then B,10
113,cPSybz9,14,0,A and B,5,A then (B or C),5,A then B,10
